building_id,site_id,primary_use,square_feet,year_built,floor_count,air_temperature,cloud_coverage,dew_temperature,precip_depth_1_hr,sea_level_pressure,wind_direction,wind_speed,hour,day,month,weekday,meter_reading
960,9,Education,56137,1970,3,28.9,0,22.2,0,1012.4,130,3.6,1,29,5,6,36
380,3,Education,95100,1927,3,18.3,2,10.6,0,1022.1,330,3.6,16,11,3,4,136.92
963,9,Lodging/residential,44784,1970,3,13.9,0,11.7,0,1012.2,180,2.1,7,25,1,0,30
1197,13,Services,50552,1970,3,4.4,2,-3.9,0,1019,320,8.2,5,14,5,5,264.497
396,3,Public services,16768,1980,3,16.1,8,8.9,0,1021.5,100,2.1,15,19,5,3,34.72
241,2,Entertainment/public assembly,51999,1974,3,6.7,0,-3.3,0,1016,320,3.1,9,2,2,1,53.2
145,1,Office,14219,1970,4,1.6,2,1,0,1028.1,90,2.6,1,17,1,6,20.313
596,4,Education,18474,1923,4,10,2,7.8,0,1009.8,110,4.1,7,6,1,2,7
79,0,Office,36240,2010,3,28.9,2,19.4,0,1017.3,100,8.2,22,16,5,0,0
560,3,Office,340000,2010,3,-8.9,0,-19.4,0,1024.1,300,10.8,9,19,1,1,2052.7
695,5,Education,121062,1976,3,5,2,4,0,1016.4,240,4.1,0,30,3,2,54.8
947,9,Education,91629,1970,3,15,2,13.9,5,1010.1,360,2.6,9,10,3,3,87
1334,15,Office,130794,1933,3,-10,2,-14.4,0,1011.1,260,5.7,14,18,1,0,111.9
303,3,Entertainment/public assembly,15950,1970,3,4.4,2,-3.9,0,1021.3,340,4.1,16,7,2,6,13.52
847,8,Entertainment/public assembly,9303,1970,1,23.3,2,21.7,0,1018.4,120,3.1,10,17,5,1,29.1667
1280,14,Lodging/residential,79900,1970,3,5,2,0.6,3,1004.6,70,4.1,16,9,4,5,92.6499
1259,14,Education,71088,1970,3,1.1,0,-5.6,0,1015.7,230,2.6,12,28,2,6,87
1243,14,Healthcare,237704,1970,3,6.1,0,-4.4,0,1010.4,320,5.7,15,21,3,0,257.764
1026,10,Lodging/residential,88480,1970,1,1.1,2,-2.8,0,1017.5,180,3.6,2,20,1,2,111.5
1194,13,Office,35829,1970,3,-7.2,2,-19.4,0,1021.2,360,5.1,7,1,3,1,43.757
116,1,Education,37265,1970,5,3.9,2,2.3,0,1009,360,1.5,21,25,4,0,148.5
907,9,Entertainment/public assembly,44564,1970,3,22.8,2,19.4,0,1006.2,170,3.1,8,26,4,1,57
491,3,Education,66600,1970,3,22.8,2,13.3,0,1005.3,130,4.1,20,16,3,2,78.51
303,3,Entertainment/public assembly,15950,1970,3,15.6,0,5,0,1015.2,190,4.6,2,24,3,3,11.75
804,8,Office,175618,1970,1,25,2,12.2,0,1010.5,250,4.6,20,16,1,5,435.667
884,9,Education,38598,1970,3,7.2,0,2.8,0,1024.1,0,0,7,13,1,2,52
38,0,Office,12769,2013,3,8.3,2,-0.6,0,1026.8,350,6.2,8,19,1,1,0
143,1,Office,40085,1970,4,4.8,2,-2,0,1014,310,2.1,21,7,3,0,55.5
999,10,Education,113580,1970,2,12.2,0,-1.7,0,1014.2,200,6.2,23,19,2,4,69.75
215,2,Lodging/residential,36406,1940,3,20,0,-3.9,0,1013,90,4.1,9,19,4,1,27.49
16,0,Education,54644,1996,3,30.6,2,18.3,0,1015.4,100,4.1,20,1,5,6,0
494,3,Education,72800,1959,3,13.3,8,11.7,0,1005.2,70,5.1,0,5,5,3,35.02
1168,13,Office,577101,1970,3,2.8,2,-6.1,0,1020.9,230,4.6,19,26,2,4,1311.22
46,0,Retail,9045,2016,3,21.7,2,17.8,0,1010.4,200,3.6,21,9,1,5,43.4108
337,3,Entertainment/public assembly,22334,1977,3,25,4,13.3,0,1016.7,330,4.6,16,24,5,1,100.75
1090,13,Office,305047,1970,3,-8.9,0,-11.7,0,1018.4,220,4.1,13,2,1,5,217.818
34,0,Lodging/residential,42731,2002,3,12.8,0,-2.8,0,1025,10,5.7,17,5,2,4,0
1010,10,Office,11419,1970,1,14.4,0,-3.9,0,1014.9,60,9.3,22,1,5,6,3
1138,13,Education,39988,1970,3,-3.3,2,-10,0,1020.5,130,1.5,13,3,3,3,77.673
351,3,Education,58908,1910,3,0,0,-8.9,0,1016,290,3.6,4,30,1,5,47.89
1261,14,Office,42942,1970,3,18.3,2,13.9,-1,1007.7,200,5.7,3,1,4,4,141.812
662,5,Entertainment/public assembly,12777,1976,2,4,2,2,0,1016.4,40,4.6,16,13,2,5,3.6
1142,13,Office,103718,1970,3,3.3,6,-1.7,0,1004.2,320,5.1,18,31,1,6,49
245,2,Education,88486,1970,3,32.2,0,1.1,0,1010.3,120,5.1,17,4,5,2,127.4
960,9,Education,56137,1970,3,31.1,0,11.7,0,1015.3,20,3.6,21,5,5,3,50
708,5,Education,102429,1945,4,9,0,7,0,1016.4,350,1.5,1,14,4,3,29.6
587,4,Technology/science,53234,1942,5,9.4,0,-2.2,0,1021.4,360,3.1,1,1,1,4,75
523,3,Entertainment/public assembly,9726,1970,3,11.1,8,10,0,1020.2,70,2.6,6,30,4,5,2.11
157,2,Office,5258,1970,3,23.3,2,-5,0,1010.7,220,2.1,4,28,3,0,37.83
945,9,Office,332447,1970,3,29.4,2,21.7,0,1014.1,180,3.6,19,11,5,2,299
760,6,Office,49990,1970,3,5,2,-0.6,0,1019.5,40,3.1,1,5,3,5,124.083
377,3,Public services,12506,1970,3,11.7,9,11.7,0,1012.4,190,4.6,4,4,2,3,8.47
552,3,Public services,20110,1936,3,17.2,2,15.6,0,1014.2,170,4.1,16,2,5,0,35.32
840,8,Other,41861,1970,1,22.2,2,17.2,0,1018,160,3.1,13,22,4,4,62.5
1222,13,Lodging/residential,187174,1970,3,15.6,4,0,0,1019.6,30,3.1,1,2,5,0,318.504
335,3,Office,229000,2010,3,11.7,2,9.4,0,1005.7,280,1.5,1,7,5,5,247.95
52,0,Education,106523,1970,3,17.8,2,13.3,0,1009.9,190,2.6,3,17,1,6,0
1087,13,Office,56569,1970,3,18.3,2,14.4,0,1010.4,170,2.6,5,1,6,2,14.407
12,0,Lodging/residential,37100,1999,3,13.9,2,12.8,-1,1022.5,350,3.6,11,6,1,2,0
207,2,Public services,99700,1970,3,30,0,-4.4,0,1007.4,180,5.1,20,23,5,0,139.06
1391,15,Entertainment/public assembly,68693,1956,3,1.1,2,-2.2,0,1010.4,150,3.1,10,15,1,4,350.075
1178,13,Education,133072,1970,3,18.3,2,8.3,0,1012.1,110,4.6,21,20,4,2,153.449
430,3,Public services,23918,1970,3,6.1,2,-4.4,0,1021.8,160,4.6,19,5,3,5,36.79
584,4,Education,137806,1967,8,13.9,2,9.4,0,1017.1,300,5.1,8,13,5,4,153.824
257,2,Education,75650,1970,3,6.7,0,4.4,0,1022.2,100,2.6,16,9,1,5,47.18
33,0,Lodging/residential,38686,2002,3,18.3,0,7.8,0,1013.3,280,3.6,2,7,5,5,0
390,3,Office,34400,1970,3,13.9,8,9.4,0,1020.4,320,3.6,12,19,5,3,133.21
756,6,Lodging/residential,44352,1970,3,6.7,2,5,0,1017.6,50,4.6,21,23,2,1,47.8333
1300,14,Healthcare,25609,1970,3,15,0,-2.2,0,1024.8,160,1.5,22,14,4,3,61.71
1222,13,Lodging/residential,187174,1970,3,12.8,2,1.1,0,1014.4,150,7.2,2,30,3,2,274.077
1288,14,Education,164206,1970,3,7.8,0,-2.2,0,1019.8,290,4.6,12,16,5,0,680.768
947,9,Education,91629,1970,3,27.2,2,23.3,0,1014.2,180,2.6,3,26,5,3,60
73,0,Parking,387638,2008,3,17.8,0,-0.6,0,1015.3,300,4.6,19,4,1,0,0
1051,12,Education,28406,1970,1,17.4,3,11.2,0,1016.6,30,4,11,29,5,6,11.035
812,8,Entertainment/public assembly,9894,1970,1,22.2,2,20.6,0,1016.6,0,0,9,2,5,0,18.5
619,4,Education,68146,1948,6,11.7,2,7.8,0,1022.4,0,0,13,2,4,5,195.488
405,3,Education,82200,1916,3,1.7,6,-5.6,0,1032.2,200,3.1,15,6,2,5,56.26
1225,14,Office,122746,1970,3,12.2,0,7.2,0,1020.2,10,1.5,8,21,5,5,156.343
237,2,Public services,101262,1982,3,7.2,0,4.4,0,1020.8,110,2.6,8,10,1,6,75.59
658,5,Entertainment/public assembly,31075,1976,2,8,2,7,0,1016.4,250,3.1,1,5,1,1,3.4
1129,13,Office,133100,1970,3,18.3,2,6.1,0,1018.7,170,6.7,23,11,3,4,93.282
581,4,Lodging/residential,23012,1930,3,13.9,2,10.6,-1,1011.8,250,4.6,18,6,5,4,10.875
1032,11,Education,127632,1970,3,-10.7,2,-16.9,0,1014.5,280,2.6,0,12,1,1,257
411,3,Entertainment/public assembly,6139,1970,3,-4.4,2,-18.3,0,1032.9,80,1.5,22,14,2,6,11.05
1096,13,Parking,83772,1970,3,1.1,2,-3.3,0,1019.4,170,2.6,7,23,2,1,40.153
197,2,Public services,102856,1970,3,17.2,0,-4.4,0,1020,50,4.6,10,9,2,1,153.53
886,9,Education,69799,1970,3,22.8,2,16.1,0,1018.2,30,2.1,18,18,5,2,98
817,8,Entertainment/public assembly,984,1970,1,13.3,0,-0.6,0,1025.9,350,5.1,15,27,2,5,0.0833
1422,15,Lodging/residential,19876,1932,3,6.7,2,5.6,0,1021.4,0,0,3,30,4,5,13.775
723,5,Education,160038,1966,4,5,2,2,0,1016.4,250,2.1,10,13,1,2,302
805,8,Entertainment/public assembly,3200,1970,1,18.3,6,12.8,0,1021.2,30,4.6,6,17,4,6,2.75
1264,14,Education,33012,1970,3,5.6,2,1.1,0,1021.3,60,2.1,23,8,1,4,81.375
327,3,Education,99325,1927,3,-2.2,2,-4.4,-1,1016.4,350,8.2,2,24,1,6,152.82
92,0,Office,10779,1970,3,32.8,4,17.8,0,1011.7,210,2.6,21,31,5,1,69.8942
1071,13,Office,10385,1970,3,1.1,2,-2.8,0,1006.7,210,4.6,7,7,2,6,7.373
684,5,Office,152471,1919,3,5,2,0,0,1016.4,280,5.1,16,6,3,6,0.732
505,3,Warehouse/storage,51622,1975,3,0,2,-8.3,0,1016.1,170,5.1,11,12,1,1,115.94
1317,14,Entertainment/public assembly,180806,1970,3,13.9,0,7.8,0,1015.4,180,4.1,2,12,4,1,522.625
405,3,Education,82200,1916,3,3.3,8,-6.1,0,1024.4,160,4.1,0,20,2,5,65.56
1448,15,Office,92271,2001,3,-2.8,2,-7.8,0,1026.5,180,4.1,13,6,2,5,2.675
373,3,Education,46484,1932,3,15,2,13.3,5,1021.8,0,0,19,11,5,2,90.83
559,3,Education,48994,2015,3,11.7,2,10,0,1020.2,70,3.6,5,30,4,5,43.04
159,2,Education,9788,1970,3,24.4,0,3.3,0,1011.1,190,3.6,15,22,5,6,13.88
742,5,Entertainment/public assembly,31829,1976,2,8,2,3,0,1016.4,270,5.1,12,9,4,5,0.1959
916,9,Education,51778,1970,3,21.1,2,20.6,0,1011,0,0,2,1,6,2,25
238,2,Office,45017,1970,3,20.6,2,-3.9,0,1014.6,0,0,22,29,1,4,126.27
1302,14,Office,90411,1970,3,-6.1,0,-14.4,0,1024.6,0,0,9,22,1,4,127.495
559,3,Education,48994,2015,3,3.9,2,-11.7,0,1032.8,330,6.2,19,18,2,3,33.94
644,4,Entertainment/public assembly,261091,1923,3,13.3,2,8.3,0,1026.6,0,0,4,12,1,1,183.552
596,4,Education,18474,1923,4,13.9,2,7.2,0,1016.8,290,7.2,5,28,3,0,5
640,4,Entertainment/public assembly,36180,1966,9,13.3,2,9.4,0,1019.2,260,3.1,8,22,5,6,227.25
163,2,Education,72102,1970,3,16.1,2,-1.7,0,1016.2,100,3.6,14,4,4,0,142.88
67,0,Lodging/residential,24456,1968,3,15.6,2,3.9,0,1018.9,320,3.6,12,9,4,5,0
875,9,Lodging/residential,177708,1970,3,24.4,0,16.7,0,1016.1,310,1.5,18,20,5,4,136
248,2,Education,24643,1982,3,22.2,0,2.8,0,1002,240,5.1,10,15,4,4,63.73
1290,14,Education,200442,1970,3,10,2,-0.6,0,1021.8,40,3.1,9,10,5,1,651
1065,12,Office,12152,1970,3,7.7,8,6.2,0,985.6,140,11,19,6,1,2,4.03
1315,14,Entertainment/public assembly,82789,1970,3,15.6,2,13.3,3,1016.4,100,4.1,0,27,4,2,109.02
370,3,Entertainment/public assembly,15960,2005,3,2.8,8,-3.3,0,1011.9,360,2.1,9,17,1,6,38.23
285,2,Utility,21958,1970,3,15,2,1.1,0,1018.4,0,0,11,11,2,3,100.99
1283,14,Public services,76537,1970,3,9.4,0,0.6,0,1006.9,300,3.1,8,15,5,6,69.6228
181,2,Education,148829,2014,3,14.4,2,5,0,1014,250,5.7,21,6,1,2,183.03
1250,14,Education,232139,1970,3,31.1,0,11.1,0,1016.5,170,4.1,20,26,5,3,659.035
10,0,Entertainment/public assembly,370773,1991,3,14.4,2,13.9,-1,1017.2,360,4.6,13,7,1,3,0
848,8,Office,8552,1970,1,16.7,2,14.4,5,1019.6,360,4.6,19,6,2,5,0
1147,13,Entertainment/public assembly,234476,1970,3,17.8,2,-2.8,0,1016,270,3.1,1,3,5,1,241.857
348,3,Public services,10577,1969,3,22.2,2,2.8,0,1010.5,320,6.7,19,8,5,6,15.27
779,6,Lodging/residential,113000,1970,3,15,0,3.9,0,1014.4,320,2.6,1,26,3,5,111.289
1243,14,Healthcare,237704,1970,3,30.6,0,18.9,0,1016.6,200,7.2,17,27,5,4,229.982
429,3,Public services,11934,1930,3,6.7,2,5,0,1016.4,250,3.6,11,16,1,5,8.5
193,2,Office,6203,1999,3,30.6,0,-7.2,0,1007.7,270,6.2,1,19,3,5,3.9
20,0,Education,110272,1977,3,26.7,2,19.4,-1,1014.1,180,6.2,20,4,2,3,0
959,9,Education,128536,1970,3,16.7,0,12.8,0,1016.3,0,0,8,6,5,4,188
580,4,Education,104016,1960,4,12.8,0,10,0,1015.5,0,0,9,17,3,3,145.75
353,3,Education,99700,1955,3,-5,2,-15.6,0,1026.6,180,1.5,14,12,2,4,110.54
894,9,Education,101555,1970,3,27.8,2,24.4,0,1015.5,160,2.6,19,25,5,2,65
572,4,Education,94175,1964,9,16.7,2,8.3,0,1015.8,270,6.7,0,31,3,3,365.375
95,0,Lodging/residential,200933,2006,3,12.2,2,10,0,1020,0,0,10,31,1,6,0
1306,14,Lodging/residential,54172,1970,3,0.6,2,-1.1,-1,1014.3,70,3.1,3,21,3,0,92
876,9,Education,55240,1970,3,16.7,2,16.1,10,1004.2,330,3.1,9,27,4,2,38
827,8,Office,5839,1970,1,19.4,2,17.2,0,1014.8,190,4.1,13,7,4,3,31.625
787,6,Lodging/residential,278795,1970,3,17.2,0,3.9,0,1013.2,330,2.1,0,26,3,5,231.25
441,3,Public services,3267,1970,3,21.1,6,3.3,0,1010.3,320,5.7,18,8,5,6,15.77
491,3,Education,66600,1970,3,17.2,0,13.9,0,1018.8,180,2.6,7,25,5,2,55.75
146,1,Office,31614,1956,8,3,2,0.8,0,1026.9,130,3.1,12,17,1,6,13.9
1206,13,Office,99946,1970,3,4.4,2,1.7,0,1016,320,5.7,17,27,3,6,61.191
989,9,Education,168696,1970,3,23.3,2,17.8,0,1010.8,150,3.1,0,11,4,0,77
1211,13,Office,94988,1970,3,11.1,0,-1.7,0,1015.6,80,2.6,5,5,5,3,36.167
571,4,Education,47954,1980,3,15,2,13.9,-1,1009.8,0,0,10,11,3,4,77.5
861,8,Other,4276,1970,1,15,2,6.1,0,1012.4,220,5.1,1,9,2,1,4.1667
4,0,Education,116607,1975,3,27.8,2,14.4,0,1018.4,110,7.7,19,21,4,3,0
82,0,Office,10743,1974,3,8.3,0,6.1,0,1022,260,2.6,10,26,2,4,0
1338,15,Education,31415,1912,3,-2,2,-4,0,1016.4,330,6.2,0,4,1,0,5.45
263,2,Education,87673,1960,3,10,0,0.6,0,1019.9,110,3.1,13,2,1,5,69.27
748,6,Office,32766,1970,3,10.6,0,-8.9,0,1015.6,290,4.1,22,21,3,0,39.4
1186,13,Lodging/residential,157070,1970,3,10,2,6.1,0,1010.3,150,5.1,15,13,3,6,127.722
382,3,Education,47984,2002,3,3.9,2,-1.7,-1,1019.7,330,8.2,11,5,2,4,145.69
411,3,Entertainment/public assembly,6139,1970,3,12.2,2,9.4,-1,1013.9,100,1.5,2,28,4,3,15.53
1284,14,Education,442438,1970,3,14.4,0,11.7,0,1015.9,0,0,7,25,5,2,1483.25
146,1,Office,31614,1956,8,5.1,2,2.9,0,985.7,260,3.6,10,9,2,1,23
625,4,Education,55516,1978,5,12.2,2,10,0,1023,0,0,7,29,2,0,144.418
120,1,Education,68211,1976,7,12.2,2,9,0,1014.8,350,4.6,4,31,5,1,131.75
679,5,Public services,43400,1976,3,1,0,-1,0,1016.4,320,4.6,3,6,3,6,15.5
1181,13,Education,60606,1970,3,5,2,1.1,0,1016.1,330,5.7,19,27,3,6,184.234
215,2,Lodging/residential,36406,1940,3,20,0,-1.7,0,1016.9,60,3.1,15,18,4,0,32.86
384,3,Office,13728,1970,3,11.1,0,-7.2,0,1015.3,290,5.7,20,3,4,6,21.52
1264,14,Education,33012,1970,3,6.1,0,-11.7,0,1013.9,280,5.7,22,3,4,6,74.875
1183,13,Entertainment/public assembly,166856,1970,3,-3.3,2,-11.7,0,1018.7,110,1.5,8,3,3,3,250.411
521,3,Public services,12000,1970,3,-5,2,-7.2,3,1031,160,2.6,14,15,2,0,60.68
276,2,Office,70837,2014,3,33.9,2,-10,0,1008,310,4.1,0,21,4,3,158.4
1266,14,Public services,13469,1970,3,5.6,0,-12.2,0,1012.1,300,8.8,20,3,4,6,47
1359,15,Education,124289,1904,3,0.6,4,-7.8,0,1022.7,170,4.6,18,25,1,0,51.575
151,1,Office,30495,1997,8,18.5,2,9.6,0,1014.8,230,6.2,15,20,5,4,67.4
723,5,Education,160038,1966,4,5,2,4,0,1016.4,110,7.7,3,18,1,0,99.6
1384,15,Education,56969,1967,3,3.9,0,0.6,0,1014.9,310,3.1,9,9,5,0,1.75
1117,13,Office,111424,1970,3,-14.4,2,-19.4,0,1027.5,330,1.5,8,11,2,3,85.443
1098,13,Office,131745,1970,3,3.9,2,-3.9,0,1022.4,200,2.6,23,5,3,5,30.606
1170,13,Office,59476,1970,3,-3.3,2,-8.3,0,1024.8,270,3.1,9,26,2,4,39.008
1279,14,Office,64743,1970,3,12.8,2,1.7,0,1004.1,290,5.1,1,29,3,1,136.868
1135,13,Education,150393,1970,3,13.9,2,2.2,0,1019.8,30,2.6,2,17,5,1,238.329
814,8,Public services,4371,1970,1,13.3,2,11.7,0,1021.5,0,0,10,21,2,6,1.7083
756,6,Lodging/residential,44352,1970,3,0.6,0,-5,0,1021.9,300,1.5,15,7,2,6,50.4
663,5,Entertainment/public assembly,57189,1976,2,15,2,15,0,1016.4,90,4.1,23,9,5,0,35.9
1427,15,Education,180625,1933,3,-4.4,2,-9.4,0,1018.6,360,1.5,22,24,1,6,141.9
869,8,Entertainment/public assembly,875000,1970,1,23.3,0,14.4,0,1019.6,310,2.1,14,8,5,6,1760.79
641,4,Education,109588,1994,8,12.8,2,6.7,3,1012.7,280,12.4,14,6,3,6,470.56
566,4,Education,2010,1957,1,16.1,2,10.6,0,1016,200,1.5,17,16,5,0,0.253
459,3,Entertainment/public assembly,36744,2004,3,16.1,6,9.4,0,1018.3,170,5.7,6,10,3,3,130.83
361,3,Public services,13224,1965,3,5.6,2,-6.1,0,1027.9,190,4.1,19,6,2,5,14.14
37,0,Lodging/residential,53130,2002,3,15.6,2,13.3,0,1023.2,340,5.7,6,18,4,0,0
666,5,Entertainment/public assembly,12045,1976,1,2,0,1,0,1016.4,300,3.1,5,16,4,5,2.2
358,3,Education,77700,1970,3,17.2,2,13.9,0,1008.3,50,8.2,8,27,4,2,83.12
1227,14,Education,76903,1970,3,18.3,0,1.7,0,1020.7,310,4.1,20,11,3,4,51.9048
1329,15,Technology/science,60100,1912,3,5,2,5,0,1013.5,0,0,11,3,5,1,255.4
421,3,Entertainment/public assembly,11274,1970,3,11.1,4,-5.6,0,1009.1,300,6.7,23,8,4,4,45.04
731,5,Education,29149,1919,2,2,0,0,0,1016.4,320,5.7,2,27,4,2,7.8
51,0,Parking,387638,2014,3,15.6,2,15,0,1015.4,90,2.6,4,8,1,4,0
839,8,Office,14150,1970,1,24.4,2,7.8,0,1019.4,70,2.6,21,29,2,0,30.6142
210,2,Education,71248,2004,3,9.4,0,0.6,0,1013.6,100,3.1,11,30,1,5,166.86
100,0,Lodging/residential,24456,1968,3,12.8,0,4.4,0,1023.8,80,2.6,1,28,2,6,0
1241,14,Healthcare,194188,1970,3,-9.4,0,-16.1,0,1025,240,2.6,13,12,2,4,479.809
1113,13,Office,33401,1970,3,1.1,2,-3.3,-1,1023.2,150,7.2,16,5,4,1,0
310,3,Public services,22000,1970,3,13.3,2,11.7,10,1001.4,210,7.2,7,2,3,2,36.23
9,0,Office,27000,2010,3,18.3,0,13.3,0,1021.4,70,4.6,8,6,4,2,0
260,2,Education,126985,1979,3,26.1,2,3.3,0,1014.3,240,2.1,1,13,4,2,229.99
273,2,Office,140345,1970,3,13.3,2,12.2,-1,1011.1,140,4.6,5,6,1,2,284.35
40,0,Entertainment/public assembly,26944,2001,3,26.7,6,17.8,0,1018,160,5.1,18,24,3,3,0
920,9,Education,85623,1970,3,13.9,0,5.6,0,1021.3,0,0,9,5,4,1,60
49,0,Lodging/residential,24456,1968,3,21.1,2,11.1,0,1023.3,0,0,15,21,2,6,0
1400,15,Lodging/residential,21168,1928,3,15,2,11.1,0,999.7,140,2.6,10,1,4,4,29.575
512,3,Lodging/residential,5000,2010,3,-5,2,-8.9,0,1036.6,40,2.1,13,6,1,2,9.04
673,5,Entertainment/public assembly,36307,1976,2,5,2,1,0,1016.4,290,7.7,4,3,2,2,10.92
3,0,Education,23685,2002,3,22.8,2,13.3,0,1016.2,130,6.7,21,15,2,0,0
164,2,Warehouse/storage,12908,1979,3,13.3,2,4.4,0,1013.8,240,5.1,23,8,1,4,19.94
465,3,Office,6400,1970,3,10,0,8.3,0,1012.4,350,1.5,9,17,3,3,27.48
153,1,Office,16092,1965,3,5.9,2,1,0,1013.9,300,3.6,21,27,4,2,16.2
130,1,Lodging/residential,62893,1960,16,7.6,0,-3.2,0,1030.8,70,5.7,19,14,3,0,49.9
353,3,Education,99700,1955,3,17.2,8,9.4,0,1024.1,10,2.6,18,10,5,1,105.33
22,0,Education,3569,1996,3,18.3,2,11.1,0,1020.7,110,3.1,1,1,3,1,0
839,8,Office,14150,1970,1,22.2,2,21.1,0,1013.3,240,2.6,11,22,5,6,33.4671
686,5,Office,12206,1976,2,10,0,8,0,1016.4,360,3.6,3,30,5,0,0
594,4,Education,177281,1964,7,11.7,2,8.9,0,1016.6,300,5.1,13,11,5,2,458.887
1321,14,Entertainment/public assembly,370024,1970,3,3.3,0,-12.8,0,1013.5,300,6.7,21,26,2,4,632
425,3,Warehouse/storage,202829,1983,3,5,2,1.7,5,1019.1,50,4.1,19,19,3,5,119.38
81,0,Other,3025,1979,3,20.6,2,18.9,0,1017.1,160,5.1,13,4,2,3,0
734,5,Education,28191,1919,1,9,2,5,0,1016.4,270,7.7,16,28,3,0,3.2
1150,13,Office,196043,1970,3,16.7,2,0,0,1016.2,150,9.3,22,29,3,1,151.504
667,5,Entertainment/public assembly,15715,1966,2,11,2,8,0,1016.4,270,8.2,17,2,5,0,1.6
1235,14,Public services,278369,1970,3,18.3,0,5.6,0,1022.1,210,2.6,16,17,5,1,490.688
1220,13,Public services,381221,1970,3,7.8,8,2.8,0,1017.6,300,5.7,12,13,5,4,531.623
1121,13,Education,85732,1970,3,-15,2,-18.3,0,1020.5,310,7.7,16,9,1,5,142.893
255,2,Education,49078,1914,3,32.8,2,4.4,0,1004.8,220,3.1,23,19,5,3,24.26
426,3,Education,101400,1930,3,1.7,6,-5,0,1027.9,340,2.6,9,18,2,3,182.71
294,3,Entertainment/public assembly,14913,1970,3,0,0,-8.9,0,1016,290,3.6,4,30,1,5,101.75
211,2,Education,48411,1970,3,17.8,2,1.1,0,1013.9,110,2.1,7,14,3,0,150.41
292,3,Public services,33743,1970,3,16.1,0,1.7,0,1015.1,20,8.2,2,24,4,6,51.12
595,4,Education,270413,1971,14,22.8,2,0,0,1012.2,310,3.1,2,20,4,2,147.74
232,2,Entertainment/public assembly,24345,1981,3,17.2,0,-7.2,0,1014.9,110,4.1,15,27,3,6,85.08
1034,12,Retail,3907,1970,1,7.1,7,3.7,0,1005.4,240,9,7,20,2,5,4.5925
596,4,Education,18474,1923,4,10,2,6.7,0,1025.1,60,2.1,13,11,1,0,8.75
435,3,Office,29916,2002,3,13.3,2,10,10,1023.9,350,3.1,14,17,5,1,71.6
107,1,Education,97532,2005,10,9,2,5.3,0,1008.5,200,4.6,21,8,4,4,387.178
189,2,Education,7481,1969,3,17.2,2,2.2,0,1004,250,4.1,11,29,3,1,15.32
526,3,Public services,7636,1970,3,12.8,0,10,0,1011.5,180,3.1,3,16,3,2,25.68
1329,15,Technology/science,60100,1912,3,9.4,2,6.7,3,1013.1,180,5.7,23,11,4,0,160.65
1445,15,Education,4298,1970,3,21.7,0,-0.6,0,1024.5,310,4.6,18,18,4,0,5.75
1200,13,Entertainment/public assembly,545351,1970,3,-4.4,2,-7.8,-1,1020.5,310,2.6,20,4,2,3,723.558
